   4.80,  -2.03,   6.83,
   5.30,  -1.53,   6.83,
   5.10,  -1.73,   6.83,
   6.50,  -0.33,   6.83,
   9.40,   2.57,   6.83,
   8.50,   1.67,   6.83,
   7.60,   0.77,   6.83,
   3.90,  -2.93,   6.83,
   6.10,  -0.73,   6.83,
   6.80,  -0.03,   6.83,
   5.20,  -1.63,   6.83,
   5.60,  -1.23,   6.83,
   3.40,  -3.43,   6.83,
   7.70,   0.87,   6.83,
   7.60,   0.77,   6.83,
   6.80,  -0.03,   6.83,
   7.90,   1.07,   6.83,
   8.10,   1.27,   6.83,
   8.60,   1.77,   6.83,
   7.80,   0.97,   6.83,
   6.80,  -0.03,   6.83,
   7.90,   1.07,   6.83,
   5.30,  -1.53,   6.83,
   9.40,   2.57,   6.83,
   7.70,   0.87,   6.83,
   9.00,   2.17,   6.83,
   7.00,   0.17,   6.83,
   9.60,   2.77,   6.83,
   5.80,  -1.03,   6.83,
   7.00,   0.17,   6.83,
   6.70,  -0.13,   6.83,
   8.10,   1.27,   6.83,
   2.70,  -4.13,   6.83,
   8.20,   1.37,   6.83,
   8.60,   1.77,   6.83,
   8.10,   1.27,   6.83,
   5.30,  -1.53,   6.83,
   6.60,  -0.23,   6.83,
   5.30,  -1.53,   6.83,
   2.90,  -3.93,   6.83,
   6.60,  -0.23,   6.83,
   4.30,  -2.53,   6.83,
   8.30,   1.47,   6.83,
   8.50,   1.67,   6.83,
   5.80,  -1.03,   6.83,
   6.60,  -0.23,   6.83,
   8.70,   1.87,   6.83,
   7.00,   0.17,   6.83,
   8.40,   1.57,   6.83,
