        xmean =      1014.5000
        ymean =         0.2278
        covxy =        12.4388
           sx =       107.5314
           sy =         0.1529
            r =         0.7566
            R =         0.5725
            T =        22.2585
        P-val =            NaN
        LRA a =        -0.8635
        LRA b =     0.00107574
          SSR =         3.7074
          SSE =         4.9643
          SST =         8.6717
          MSR =         0.0100
          MSE =         4.9643
          MST =         0.0234
          EDF =         1
          RDF =       370
          TDF =       371
         Fsta =       495.4407
           se =         0.1001
           sa =         0.0243
           sb =         0.0000
           ta =       -35.5581
           tb =        22.2585
