        xmean =       894.5000
        ymean =         0.1473
        covxy =        23.0049
           sx =       176.8128
           sy =         0.1693
            r =         0.7687
            R =         0.5910
            T =        29.6863
        P-val =            NaN
        LRA a =        -0.5110
        LRA b =     0.00073586
          SSR =         7.1595
          SSE =        10.3433
          SST =        17.5027
          MSR =         0.0117
          MSE =        10.3433
          MST =         0.0286
          EDF =         1
          RDF =       610
          TDF =       611
         Fsta =       881.2685
           se =         0.1083
           sa =         0.0047
           sb =         0.0000
           ta =      -108.3699
           tb =        29.6861
